title,number,cover,price,summary
Chegando mais uma vez,50,img/Volume_50.jpg,32.65,"Gekko Moriah não subestima Luffy e apela para o poder de quase todas as sombras de Thriller Bark! Enquanto isso, Bartholomew Kuma, um temido Shichibukai, assiste a tudo e decide dar um fim a todas as testemunhas desse duelo!"
Os 11 Supernovas,51,img/Volume_51.jpg,43.32,"O recente excesso de violência nas ações do Homem-Aranha leva os Vingadores a uma terrível indagação: será o momento de expulsá-lo da equipe? Com o Dr. Octopus agindo no lugar do herói e levando o herói a agir como vilão, o espírito de Peter Parker decide dar um basta nas loucuras de seu velho inimigo e recuperar o controle de seu corpo, sua mente e seu destino. Uma batalha feroz que pode marcar o início da derrocada de Otto Octavius! Chegou a hora da verdade: quem viverá, quem morrerá e quem será o verdadeiro e único Homem-Aranha Superior? Mas, justo quando o Duende Verde volta à cena, ninguém consegue encontrar o Aracnídeo em lugar nenhum! E ainda: Polichinelo, Screwball e Cardíaco!  Este volume de 116 páginas reúne as edições 6 a 10 de Superior Spider-Man."
Roger e Rayleigh,52,img/Volume_52.jpg,36.38,"A sereia Kamy foi sequestrada e colocada à leilão em Sabaody Park, e Luffy, a fim de resgatá-la, acabou atraindo a atenção de um nobre dos Dragões Celestiais e se metendo numa baita confusão! Todos os piratas do Novo Mundo que estavam na ilha ficam em alerta e a marinha envia um de seus almirantes para resolver a situação!"
A Disposição de um Rei,53,img/Volume_53.jpg,59.08,"Após desafiarem os Nobres Mundias, o bando tem de enfrentar o almirante Kizaru, Sentoumaru e mais de um Bartholomew Kuma, enviados pela Marinha. No entanto, as coisas vão de mal a pior e, um a um, Luffy vê seus companheiros sumirem diante de seus olhos! Para piorar, ele é mandado para uma misteriosa ilha onde aparentemente só tem mulheres!"
Ninguém pode impedir isso agora,54,img/Volume_54.jpg,84.36,"Após resolver o conflito com a Imperatriz Pirata e Shichibukai Boa Hancock em Amazon Lily, Luffy descobre que seu irmão, Portgas D. Ace, está detido na Grande Prisão Submarina de Impel Down!! Determinado a salvá-lo, Luffy faz a difícil escolha de deixar seus companheiros em segundo plano e enfrentar a Marinha no meio de uma iminente guerra que promete abalar a Grande Era dos Piratas!!"
Okama no Inferno,55,img/Volume_55.jpg,91.28,"Determinado a salvar seu irmão, Luffy continua descendo os níveis de Impel Down e causando a maior confusão pelo caminho, junto de Buggy, o Palhaço, Mr. 3 e Mr. 2 Bon Clay! No entanto, as tropas da grande prisão preparam uma emboscada no Nível 4, o Inferno Escaldante, para deter os fugitivos, e Luffy terá de enfrentar Magellan, o Homem-Veneno e diretor de Impel Down!"
Obrigado,56,img/Volume_56.jpg,32.62,"Com a ajuda de Ivankov, Jinbe e outros prisioneiros, Luffy se esforça para escapar de Impel Down e impedir a execução de seu irmão Ace em Marineford! Porém, a tarefa não será nada fácil, e todos os presos terão de trabalhar em conjunto para passar pelos guardas da prisão e pelo diretor Magellan. Enquanto isso, a tensão na Marinha aumenta com o sumiço de um membro da Shichibukai e a iminente guerra contra o Barba Branca!"
Conflito no Topo,57,img/Volume_57.jpg,78.99,"Explode o tão esperado confronto que mudará o mundo! De um lado está a frota de 47 navios piratas aliados ao Barba Branca e que vieram do Novo Mundo, e, de outro, os dois grandes poderes do Governo: o Quartel-General da Marinha, com seus Almirantes, e a Shichibukai"
"Eu nomeio essa Era como ""Barba Branca""",58,img/Volume_58.jpg,92.87,"Em meio à grande guerra em Marineford, a ilha que serve de Quartel-General da Marinha, o lendário Barba Branca é apunhalado por um de seus próprios aliados! É hora de o homem mais forte do mundo contra-atacar as artimanhas da Marinha! Enquanto isso, Luffy faz de tudo para chegar até Ace, atraindo os olhares de todos à sua volta."
Portgas D. Ace Morre,59,img/Volume_59.jpg,97.87,
Meu irmãozinho,60,img/Volume_60.jpg,75.65,
Romance Dawn para o Novo Mundo,61,img/Volume_61.jpg,60.02,"Luffy toma uma importante decisão que definirá o futuro do bando! Durante os próximos dois anos, cada um irá atrás de uma forma de evoluir, antes do tão esperado reencontro para explorar o Novo Mundo! Edição com pôster comemorativo colorido com 6 dobras. O pôster será inserido dentro do mangá. Esta edição marca uma nova fase de One Piece chamada Novo Mundo e quem nunca leu o mangá na vida pode até começar agora. A capa é uma releitura da 1ª edição de One Piece."
Aventura na Ilha dos Tritões,62,img/Volume_62.jpg,60.17,
Otohime e Tiger,63,img/Volume_63.jpg,98.3,"A princesa Shirahoshi deixa a Torre Koukaku e vai com Luffy para a Floresta do Mar. Lá, eles encontram Jinbe, que revela a triste história dos Homens-Peixe!"
100.000 vs 10,64,img/Volume_64.jpg,35.43,Hody Jones domina o palácio real e anuncia a sua intenção de destruir o Reino Ryuugu! É revelado o verdadeiro responsável pelo assassinato da rainha Otohime e o Bando do Chapéu de Palha não ficará de braços cruzados!
Para o Zero,65,img/Volume_65.jpg,92.85,"Vander Decken, obcecado por Shirahoshi, decide destruir o Reino Ryuugu! E, enquanto o Bando do Chapéu de Palha procura uma forma de evitar essa calamidade, o combate contra Hody Jones se acirra e suas verdadeiras motivações são reveladas!"
O Caminho para o Sol,66,img/Volume_66.jpg,72.88,
Luta Cool,67,img/Volume_67.jpg,83.19,
Aliança Pirata,68,img/Volume_68.jpg,77.01,"O Bando do Chapéu de Palha está a todo vapor! Enquanto alguns deles saem em busca do que falta do corpo do samurai, outros tentam dar um jeito de libertar as crianças gigantes e derrotar o cientista inescrupuloso que comanda a ilha!"
